Date,Hour,Solar,Wind,Solar,Wind,Cloud
2/9/2019,0,0,897.0047154,0,1,1
2/9/2019,1,0,843.2809689,0,1,1
2/9/2019,2,0,782.3533651,0,1,1
2/9/2019,3,0,700.2903679,0,1,1
2/9/2019,4,0,604.3148098,0,1,1
2/9/2019,5,0,639.6668888,0,1,0
2/9/2019,6,0,679.927921,0,1,0
2/9/2019,7,0,656.772888,0,1,0
2/9/2019,8,0,700.9500751,0,1,0
2/9/2019,9,0,742.2694394,0,1,0
2/9/2019,10,0,803.8050987,0,1,0
2/9/2019,11,0,806.1180565,0,1,0
2/9/2019,12,14.57646191,735.5388145,0,1,0
2/9/2019,13,127.5146846,889.4196096,1,1,0
2/9/2019,14,191.6629044,894.4190759,1,1,0
2/9/2019,15,186.5949908,909.3008162,1,1,0
2/9/2019,16,199.7387502,953.4969437,1,0,0
2/9/2019,17,201.720941,972.3891595,1,0,0
2/9/2019,18,195.9699578,974.4407895,1,0,0
2/9/2019,19,180.9082339,988.2746462,1,0,0
2/9/2019,20,179.8306707,1003.270746,0,0,0
2/9/2019,21,63.39351138,992.477306,0,0,0
2/9/2019,22,0,987.4678459,0,0,0
2/9/2019,23,0,1001.224959,0,0,0
